Location,Governor Political Affiliation,State Senate Majority Political Affiliation,State House Majority Political Affiliation,State Attorney General Political Affiliation,State Insurance Commissioner Political Affiliation
Alabama,Republican,Republican,Republican,Republican,Appointed
Alaska,Republican,Republican,Republican,Appointed,Appointed
Arizona,Democrat,Republican,Republican,Democrat,Appointed
Arkansas,Republican,Republican,Republican,Republican,Appointed
California,Democrat,Democrat,Democrat,Democrat,Democrat
Colorado,Democrat,Democrat,Democrat,Democrat,Appointed
Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed
Delaware,Democrat,Democrat,Democrat,Democrat,Democrat
District of Columbia,Democrat,Democrat,N/A,Democrat,Appointed
Florida,Republican,Republican,Republican,Republican,Appointed
Georgia,Republican,Republican,Republican,Republican,Republican
Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed
Idaho,Republican,Republican,Republican,Republican,Appointed
Illinois,Democrat,Democrat,Democrat,Democrat,Appointed
Indiana,Republican,Republican,Republican,Republican,Appointed
Iowa,Republican,Republican,Republican,Republican,Appointed
Kansas,Democrat,Republican,Republican,Republican,Republican
Kentucky,Democrat,Republican,Republican,Republican,Appointed
Louisiana,Republican,Republican,Republican,Republican,Republican
Maine,Democrat,Democrat,Democrat,Appointed,Appointed
Maryland,Democrat,Democrat,Democrat,Democrat,Appointed
Massachusetts,Democrat,Democrat,Democrat,Democrat,Appointed
Michigan,Democrat,Democrat,Republican,Democrat,Appointed
Minnesota,Democrat,Democrat,Divided,Democrat,Appointed
Mississippi,Republican,Republican,Republican,Republican,Republican
Missouri,Republican,Republican,Republican,Republican,Appointed
Montana,Republican,Republican,Republican,Republican,Republican
Nebraska,Republican,Republican,N/A,Republican,Appointed
Nevada,Republican,Democrat,Democrat,Democrat,Appointed
New Hampshire,Republican,Republican,Republican,Appointed,Appointed
New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed
New Mexico,Democrat,Democrat,Democrat,Democrat,Appointed
New York,Democrat,Democrat,Democrat,Democrat,Appointed
North Carolina,Democrat,Republican,Republican,Democrat,Republican
North Dakota,Republican,Republican,Republican,Republican,Republican
Ohio,Republican,Republican,Republican,Republican,Appointed
Oklahoma,Republican,Republican,Republican,Republican,Republican
Oregon,Democrat,Democrat,Democrat,Democrat,Appointed
Pennsylvania,Democrat,Republican,Democrat,Republican,Appointed
Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed
South Carolina,Republican,Republican,Republican,Republican,Appointed
South Dakota,Republican,Republican,Republican,Republican,Appointed
Tennessee,Republican,Republican,Republican,Appointed,Appointed
Texas,Republican,Republican,Republican,Republican,Appointed
Utah,Republican,Republican,Republican,Republican,Appointed
Vermont,Republican,Democrat,Democrat,Democrat,Appointed
Virginia,Republican,Democrat,Democrat,Republican,Appointed
Washington,Democrat,Democrat,Democrat,Democrat,Democrat
West Virginia,Republican,Republican,Republican,Republican,Appointed
Wisconsin,Democrat,Republican,Republican,Democrat,Appointed
Wyoming,Republican,Republican,Republican,Appointed,Appointed
